index,tweet,sentiment,score,all_hashtaged_words,VanderSentiment_pos,VanderSentiment_neg,VanderSentiment_neu,VanderSentiment_overall,polar_word_count_pos,polar_word_count_neg,Sentinent140_scores,hashtag_polarity,emotion_word_count_anticipation,emotion_word_count_disgust,emotion_word_count_fear,emotion_word_count_joy,emotion_word_count_negative,emotion_word_count_positive,emotion_word_count_sadness,emotion_word_count_surprise,emotion_word_count_trust,emotion_word_count_anger,score_hashtag_emotion_lexicon,emoticons_score
10001,so my indian uber driver just called someone the n word if i wasnt in a moving vehicle id have jumped out,anger,0.896,['disgusted'],0,0,1,0,2,0,0,neural,0,0,0,0,0,1,0,0,0,0,1.734578194,0
10002,uk i asked for my parcel to be delivered to a pick up store not my address,anger,0.896,"['fuming', 'poorcustomerservice']",0,0,1,0,0,0,0,neural,1,0,0,0,0,2,0,0,0,0,1.275764735,0
10003,so ef whichever butt wipe pulled the fire alarm in davis bc i was sound asleep ,anger,0.896,"['pissed', 'angry', 'upset', 'tired', 'sad', 'tired', 'hangry', '#####']",0,0.255,0.745,-0.5859,1,1,0,negative,0,0,2,0,2,0,0,1,0,0,8.112784164,0
10004,dont join they put the phone down on you talk over you and are rude taking money out of my acc willynilly,anger,0.896,['fuming'],0,0.196,0.804,-0.5978,0,2,0,neural,1,0,0,1,0,3,0,1,0,1,1.275764735,0
10005,my blood is boiling,anger,0.875,[],0,0,1,0,0,2,-0.541,neural,0,0,0,0,0,0,0,0,0,0,0,0
10006,when youve still got a whole season of wentworth to watch and a stupid cunt in work ruins it for us loudlycryingface loudlycryingface kirstyga,anger,0.875,"['raging', 'oldcunt']",0,0.311,0.689,-0.8591,0,1,0,neural,1,0,1,0,1,0,0,0,0,0,1.366402009,0
10007,uk why does tracking show my equipment delivered when it wasnt why is my service suddenly delayed weve already 3 weeks,anger,0.875,['fuming'],0,0.087,0.913,-0.2263,0,0,-0.439,neural,0,0,0,0,1,0,0,1,0,0,1.275764735,0
10008,legit why i am so furious with him people are such fucking idiots,anger,0.875,[],0,0.283,0.717,-0.6948,0,2,-0.335,neural,0,1,0,0,1,0,0,0,0,1,0,0
10009,how is it suppose to work if you do that wtf dude thanks for pissing me off,anger,0.875,[],0.124,0.278,0.598,-0.5574,0,0,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10010,im so mad about power rangers im incensed im furious,anger,0.667,[],0,0.593,0.407,-0.8805,0,2,-3,neural,0,2,1,0,2,0,1,0,0,2,0,-3
10011,wont use using again these guys cant get nothing right,anger,0.854,['fuming'],0,0,1,0,1,0,-0.125,neural,1,0,0,0,0,0,0,0,0,0,1.275764735,0
10012,bitches aggravate like what inspires you to be the biggest cunt known to man kind,anger,0.854,[],0.31,0.373,0.317,-0.4215,2,1,2,neural,0,0,0,1,0,1,0,0,0,0,0,2
10013,why does have to come to glasgow on a night i am working i am fucking gutted been waiting for an appearance for ages,anger,0.938,['raging'],0,0,1,0,0,0,-0.318,neural,0,0,0,0,0,1,0,0,0,0,1.366402009,0
10014,fuking fuming facewithsteamfromnose,anger,0.854,[],0,0.888,0.112,-0.836,0,0,0,neural,0,0,0,0,1,0,0,0,0,1,0,0
10015,zero help from customer service just pushing the buck back and forth and promising callbacks that don’t happen,anger,0.854,"['anger', 'loathing']",0.252,0,0.748,0.6597,4,0,-0.425,neural,1,0,1,0,1,3,0,1,0,0,1.092345791,0
10016,not to mention the gra guy stops me but lets the 2 ppl in front of me go wtf my blood is boiling,anger,0.854,[],0,0.236,0.764,-0.7579,0,2,-0.541,neural,0,0,0,0,0,0,0,0,0,0,0,0
10017,i hate my lawn mower if it had a soul id condemn it to the fiery pits of hell,anger,0.833,[],0,0.47,0.53,-0.9231,1,3,-4.378,neural,0,2,2,0,3,0,2,0,0,3,0,-4
10018,why are people so offended by kendall he ends photo shoot like seriously shut the fuck up,anger,0.833,[],0.101,0.413,0.486,-0.7728,1,1,-0.132,neural,0,0,1,0,2,0,1,0,0,2,0,0
10019,im about to block everyone everywhere posting about the storm i think everyone is aware of the damn rain and what not so quit,anger,0.812,['damn'],0,0.203,0.797,-0.6808,0,4,0,neural,0,1,0,0,3,0,0,0,0,2,0.357278613,0
10020,making my buddy cry bitch wait for revenge smilingfacewithopenhands OKhandlightskintone,anger,0.812,[],0,0.595,0.405,-0.8834,0,3,0,neural,3,1,2,1,4,1,2,1,0,2,0,0
10021,bes you dont just tell a true blooded hoopjunkie to switch a fc  team that juz destroyed your own team you juz dont,anger,0.891,['insult'],0.104,0.119,0.778,-0.1027,1,0,-0.797,neural,0,0,1,1,1,1,1,0,0,1,0,0
10022,i got a no response again from an customer of disappointedface disappointedface why cant they understand that its not always amazon fault,anger,0.812,"['irate', 'amazon']",0.09,0.149,0.761,-0.1179,1,1,-0.914,neural,0,0,0,0,1,1,1,0,0,0,1.138865807,0
10023,tasers immobilize if you taser someone why the fuck do you need to shoot them one second later this is really sick,anger,0.812,"['rage', 'wtf', 'murder']",0,0.333,0.667,-0.8588,0,2,-4.164,neural,0,1,1,0,2,0,1,0,0,1,2.707929877,-2
10024,the way my blood is boiling little bastards,anger,0.792,[],0,0.346,0.654,-0.5729,0,3,-6.117,neural,0,0,0,0,0,0,0,0,0,0,0,-5
10025,actually fuming i have nothing to wear saturday,anger,0.792,[],0,0.346,0.654,-0.5719,0,0,0,neural,0,0,0,0,2,0,0,0,0,1,0,0
10026,than straight people even the arse straight guys who think that means a threesome is fine,anger,0.792,"['angry', 'fuming']",0.301,0,0.699,0.5574,3,1,2,neural,0,0,0,0,0,0,0,0,0,0,2.702889288,2
10027,bloody parking ticket unamusedface moneywithwings,anger,0.792,['fuming'],0,0.42,0.58,-0.4404,0,1,0,neural,0,1,1,0,1,0,1,0,0,1,1.275764735,0
10028,you ever just find that the people around you really irritate you sometimes thats me right now unamusedface,anger,0.792,[],0,0.154,0.846,-0.4754,2,1,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10029,i get so angry at people that dont know that you dont have a stop sign on francis and you do at foster,anger,0.792,['road'],0.07,0.156,0.774,-0.5193,0,1,-0.159,neural,0,1,0,0,1,0,0,0,0,1,0.546089117,0
10030,this fuck you is boiling up inside its not gonna be good when i let it out,anger,0.792,[],0,0.283,0.717,-0.7101,1,1,0,neural,1,0,0,1,0,1,0,1,0,0,0,0
10031,wow my bill is £44 77 and hav a text from u to prove that and you have taken £148,anger,0.792,"['swines', 'fuming', 'con!']",0.167,0,0.833,0.5859,1,0,0,neural,0,0,0,0,0,1,0,0,0,0,1.275764735,0
10032,i blame the whole season on natalie the season would have been so different had she not turned her back on her alliance,anger,0.792,['pissed'],0,0.098,0.902,-0.34,1,1,-0.173,neural,0,1,0,0,1,0,0,0,0,1,1.100848126,0
